iter	Logloss
310	0.2058804778
311	0.2057156516
312	0.2055276096
313	0.2054051373
314	0.2052396825
315	0.2050622367
316	0.2048862595
317	0.2047585948
318	0.2046637115
319	0.2045348376
320	0.2043884882
321	0.2042277088
322	0.2040934466
323	0.2039540417
324	0.2038138381
325	0.2036742803
326	0.2035279258
327	0.2033854068
328	0.203251665
329	0.2031073167
330	0.202840175
331	0.202652133
332	0.2024809446
333	0.2023925901
334	0.2022533622
335	0.2021475941
336	0.2019945562
337	0.201874049
338	0.2017220812
339	0.2015826024
340	0.2014437695
341	0.2012874096
342	0.2011555264
343	0.2010303471
344	0.2009200187
345	0.2007975189
346	0.2006166104
347	0.200465072
348	0.2003569318
349	0.2002561398
350	0.2000894122
351	0.1999739909
352	0.1998654197
353	0.1997089533
354	0.1995714189
355	0.1994718654
356	0.1993386389
357	0.1991628541
358	0.1990236089
359	0.1989463282
360	0.198853793
361	0.1987091131
362	0.1985665031
363	0.1984748645
364	0.1983144355
365	0.1981771244
366	0.1979781066
367	0.1978661241
368	0.1977495812
369	0.1976144155
370	0.1974160246
371	0.1972808211
372	0.1971623338
373	0.1970238427
374	0.1968423879
375	0.1966931271
376	0.1966113341
377	0.1964744542
378	0.1963298585
379	0.1961658431
380	0.1960929681
381	0.1959801285
382	0.1957503852
383	0.1956000028
384	0.1954700158
385	0.1953769859
386	0.195247461
387	0.1951181061
388	0.1950037944
389	0.1948573901
390	0.1947543531
391	0.194608416
392	0.1944857187
393	0.1943973746
394	0.1943010966
395	0.1942271756
396	0.1941239514
397	0.193998231
398	0.1939134184
399	0.1938200604
400	0.1936991718
401	0.1935711103
402	0.1934786576
403	0.1933702976
404	0.1932971839
405	0.1932044683
406	0.1931030596
407	0.1930326753
408	0.1929591596
409	0.192844623
410	0.1927213881
411	0.1926044742
412	0.1924582073
413	0.1923299946
414	0.1922436051
415	0.1920653366
416	0.1919507793
417	0.1917755733
418	0.1916023822
419	0.1914959064
420	0.1914132804
421	0.1912991697
422	0.19123658
423	0.1911330776
424	0.1909467412
425	0.1908434552
426	0.1907791977
427	0.1906921452
428	0.1905607257
429	0.1904603562
430	0.1903874761
431	0.1901751465
432	0.1900644831
433	0.1899550427
434	0.1898343105
435	0.1896948712
436	0.1896089627
437	0.1894744755
438	0.1894156818
439	0.189295458
440	0.1891259375
441	0.1889921734
442	0.188911143
443	0.1887410917
444	0.1885880555
445	0.1884494029
446	0.188383165
447	0.1882999171
448	0.1881096284
449	0.1880099649
450	0.187811258
451	0.1877338502
452	0.1876125803
453	0.1875078428
454	0.1874043507
455	0.1872245293
456	0.1870998602
457	0.1870312863
458	0.1869346905
459	0.1868077369
460	0.1866902665
461	0.186550774
462	0.1864876484
463	0.1863794362
464	0.186282995
465	0.1861688877
466	0.1860620324
467	0.1859727075
468	0.1858716132
