iter	Logloss
0	0.6480424118
1	0.6081493225
2	0.5734416554
3	0.5427799934
4	0.5177823061
5	0.4952904989
6	0.4762586125
7	0.4599883032
8	0.4442060416
9	0.430386462
10	0.4186544929
11	0.4083138725
12	0.3989988915
13	0.3903321982
14	0.3822305825
15	0.3754497405
16	0.370095758
17	0.3647900863
18	0.3603913915
19	0.3564347901
20	0.3521344379
21	0.3482661309
22	0.3450354828
23	0.3412091862
24	0.3385291667
25	0.3357901218
26	0.3333721546
27	0.3310159097
28	0.3286738939
29	0.3262020405
30	0.3241766846
31	0.3222075992
32	0.3200579985
33	0.3186236603
34	0.3172309374
35	0.3155773337
36	0.3138506953
37	0.3125623852
38	0.3109946746
39	0.3096929256
40	0.3083876486
41	0.3069126603
42	0.3051716589
43	0.3037583963
44	0.3026146957
45	0.3013113733
46	0.3003687036
47	0.2992574185
48	0.2980776952
49	0.2970209217
50	0.2958133586
51	0.2948197261
52	0.293698056
53	0.2927892413
54	0.2917735712
55	0.2910611738
56	0.2901188201
57	0.2891074442
58	0.2883055638
59	0.2876414118
60	0.2869134696
61	0.2860229478
62	0.2849983425
63	0.284008269
64	0.2832034273
65	0.2824914455
66	0.2816754219
67	0.280894411
68	0.2801791417
69	0.2794528621
70	0.2786804704
71	0.2780823864
72	0.2773070334
73	0.2765315121
74	0.2758338315
75	0.2752159017
76	0.2745362634
77	0.2739129469
78	0.2733414762
79	0.2728732469
80	0.2721781428
81	0.2716766734
82	0.2712136451
83	0.2707485075
84	0.2700434857
85	0.2696306026
86	0.2690595373
87	0.2684232422
88	0.2678063498
89	0.2672620043
90	0.2668794757
91	0.2665182356
92	0.265861899
93	0.2652518566
94	0.2645611944
95	0.2640727413
96	0.2635679156
97	0.2631239396
98	0.2626775039
99	0.2622482859
100	0.2615302339
101	0.2611062651
102	0.2605947337
103	0.260195901
104	0.2598391853
105	0.2593190553
106	0.2589219231
107	0.2584973119
108	0.2581656499
109	0.2577313855
110	0.2573266132
111	0.2570243368
112	0.256683846
113	0.2563019185
114	0.2558313875
115	0.2553015425
116	0.2549085395
117	0.2544488641
118	0.2539665569
119	0.2536455752
120	0.2533575313
121	0.2530610057
122	0.252714455
123	0.2523668119
124	0.251995266
125	0.2516449845
126	0.2512624834
127	0.2508555915
128	0.2504425848
129	0.2500563082
130	0.2497457286
131	0.2493729322
132	0.2489265618
133	0.2486340142
134	0.2481659291
135	0.2478090279
136	0.247522815
137	0.2471105022
138	0.2467526803
139	0.2464979074
140	0.2461796808
141	0.2458034079
142	0.2455212556
143	0.2452045784
144	0.2449561402
145	0.2445971125
146	0.244311889
147	0.2439331013
148	0.2435808412
149	0.2433050785
150	0.2428018503
151	0.2423770673
152	0.2418540963
153	0.2415319363
154	0.241247527
155	0.240977144
156	0.2406100949
157	0.2402144365
158	0.2398375451
159	0.239538072
160	0.2392492792
161	0.2390087285
162	0.2387717951
163	0.2385033531
164	0.238230428
165	0.2378161949
166	0.2375327577
167	0.2372654563
168	0.2369530732
169	0.2366996263
170	0.2364318576
171	0.2361841168
172	0.235961227
173	0.2357387666
174	0.2354287677
175	0.2351824697
176	0.2349830259
177	0.2346850196
178	0.23446371
179	0.2341659219
180	0.2339270356
181	0.2336916206
182	0.2334212136
183	0.2331927689
184	0.2329648601
185	0.2327352182
186	0.2323581122
187	0.2321490375
188	0.2318800321
189	0.2316286258
190	0.2313543713
191	0.2311565025
192	0.2308985709
193	0.2306699046
194	0.230385004
195	0.2301375414
196	0.2298055221
197	0.2296019302
198	0.2292940405
199	0.2290302173
200	0.2286953072
201	0.2283354413
202	0.2281031233
203	0.227770824
204	0.2274881598
205	0.2272362622
206	0.227002857
207	0.2267799328
208	0.2265526853
209	0.2262681901
210	0.2259330704
211	0.2257412977
212	0.2255346741
213	0.2253438254
214	0.2250869261
215	0.2248572927
216	0.2244835533
217	0.2242456152
218	0.2240458673
219	0.2238417601
220	0.2235706574
221	0.2231915091
222	0.2230045321
223	0.2227202292
224	0.2225301913
225	0.2222802742
226	0.2220755057
227	0.221858528
228	0.2216882122
229	0.2215019033
230	0.2213284219
231	0.2210950338
232	0.2209182424
233	0.220712713
234	0.220499047
235	0.2201988678
236	0.2200244812
237	0.2198435073
238	0.2195925751
239	0.2193507224
240	0.2191777288
241	0.2189804835
242	0.2188159219
243	0.21856736
244	0.2183305898
245	0.2180496828
246	0.2178285897
247	0.2176818968
248	0.2174963488
249	0.2172425052
250	0.2170861144
251	0.2167535231
252	0.2165764088
253	0.2163806374
254	0.2161600406
255	0.2159846852
256	0.2157212278
257	0.2155736177
258	0.2153709396
259	0.2151826227
260	0.2148693276
261	0.2146700882
262	0.2145341753
263	0.2143465764
264	0.2141620711
265	0.214011182
266	0.2137604576
267	0.2136015539
268	0.2133815789
269	0.2131176286
270	0.2128930246
271	0.2126937353
272	0.2125170762
273	0.2123529594
274	0.2121705084
275	0.2120163712
276	0.2118263642
277	0.211596018
278	0.2114098466
279	0.2112579595
280	0.2110452021
281	0.2109207082
282	0.2107574657
283	0.2105890153
284	0.2103267568
285	0.2101449842
286	0.2099741016
287	0.2097994917
288	0.2096119495
289	0.2094489612
290	0.2092666218
291	0.2091100146
292	0.2089150333
293	0.208766025
294	0.2085656347
295	0.2083899409
296	0.2082236221
297	0.2080874602
298	0.2077801665
299	0.207616979
300	0.2074394576
301	0.2073282721
302	0.2071714794
303	0.2069770631
304	0.2068119432
305	0.2066375119
306	0.206502092
307	0.2063394163
308	0.206197471
309	0.2060411953
